Time(Minutes);EntityID;ObjectName;ProcessID;StepName;Action
0;--;--;--;--;System initialization completed.
0;--;--;--;--;Time until next event of timer 'Source_InitModel.EntityArrivals' is '0' Minutes.
0;--;--;--;--;Time until next event of timer 'Source_LotesProduccion.EntityArrivals' is '0' Minutes.
0;--;--;--;--;Created object 'Worker_Manipulador_1[1]'.
0;Worker_Manipulador_1[1];Worker_Manipulador_1[1];0.OnCreated;[Begin];Process 'Worker_Manipulador_1[1].OnCreated' execution started.
0;Worker_Manipulador_1[1];Worker_Manipulador_1[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Worker_Manipulador_1[1].OnEvaluatingRiderReservation.Enabled' the value '1'. Previous value was '1'.
0;Worker_Manipulador_1[1];Worker_Manipulador_1[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Worker_Manipulador_1[1].OnEvaluatingRiderReservation.ReturnValue' the value '1'. Previous value was '1'.
0;Worker_Manipulador_1[1];Worker_Manipulador_1[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Worker_Manipulador_1[1].OnEvaluatingSeizeRequest.Enabled' the value '1'. Previous value was '1'.
0;Worker_Manipulador_1[1];Worker_Manipulador_1[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Worker_Manipulador_1[1].OnEvaluatingSeizeRequest.ReturnValue' the value '1'. Previous value was '1'.
0;Worker_Manipulador_1[1];Worker_Manipulador_1[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Worker_Manipulador_1[1].OnEvaluatingRiderAtPickup.Enabled' the value '1'. Previous value was '1'.
0;Worker_Manipulador_1[1];Worker_Manipulador_1[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Worker_Manipulador_1[1].OnEvaluatingRiderAtPickup.ReturnValue' the value '1'. Previous value was '1'.
0;Worker_Manipulador_1[1];Worker_Manipulador_1[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Worker_Manipulador_1[1].HomeNode' the value 'Node_BaseManipulador'. Previous value was 'Nothing'.
0;Worker_Manipulador_1[1];Worker_Manipulador_1[1];0.OnCreated;[End];Process 'Worker_Manipulador_1[1].OnCreated' execution ended.
0;--;--;--;--;Created object 'Worker_Panadero_1[1]'.
0;Worker_Panadero_1[1];Worker_Panadero_1[1];0.OnCreated;[Begin];Process 'Worker_Panadero_1[1].OnCreated' execution started.
0;Worker_Panadero_1[1];Worker_Panadero_1[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Worker_Panadero_1[1].OnEvaluatingRiderReservation.Enabled' the value '1'. Previous value was '1'.
0;Worker_Panadero_1[1];Worker_Panadero_1[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Worker_Panadero_1[1].OnEvaluatingRiderReservation.ReturnValue' the value '1'. Previous value was '1'.
0;Worker_Panadero_1[1];Worker_Panadero_1[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Worker_Panadero_1[1].OnEvaluatingSeizeRequest.Enabled' the value '1'. Previous value was '1'.
0;Worker_Panadero_1[1];Worker_Panadero_1[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Worker_Panadero_1[1].OnEvaluatingSeizeRequest.ReturnValue' the value '1'. Previous value was '1'.
0;Worker_Panadero_1[1];Worker_Panadero_1[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Worker_Panadero_1[1].OnEvaluatingRiderAtPickup.Enabled' the value '1'. Previous value was '1'.
0;Worker_Panadero_1[1];Worker_Panadero_1[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Worker_Panadero_1[1].OnEvaluatingRiderAtPickup.ReturnValue' the value '1'. Previous value was '1'.
0;Worker_Panadero_1[1];Worker_Panadero_1[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Worker_Panadero_1[1].HomeNode' the value 'Node_Silla_Panadero_1'. Previous value was 'Nothing'.
0;Worker_Panadero_1[1];Worker_Panadero_1[1];0.OnCreated;[End];Process 'Worker_Panadero_1[1].OnCreated' execution ended.
0;--;--;--;--;Created object 'Worker_Panadero_2[1]'.
0;Worker_Panadero_2[1];Worker_Panadero_2[1];0.OnCreated;[Begin];Process 'Worker_Panadero_2[1].OnCreated' execution started.
0;Worker_Panadero_2[1];Worker_Panadero_2[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Worker_Panadero_2[1].OnEvaluatingRiderReservation.Enabled' the value '1'. Previous value was '1'.
0;Worker_Panadero_2[1];Worker_Panadero_2[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Worker_Panadero_2[1].OnEvaluatingRiderReservation.ReturnValue' the value '1'. Previous value was '1'.
0;Worker_Panadero_2[1];Worker_Panadero_2[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Worker_Panadero_2[1].OnEvaluatingSeizeRequest.Enabled' the value '1'. Previous value was '1'.
0;Worker_Panadero_2[1];Worker_Panadero_2[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Worker_Panadero_2[1].OnEvaluatingSeizeRequest.ReturnValue' the value '1'. Previous value was '1'.
0;Worker_Panadero_2[1];Worker_Panadero_2[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Worker_Panadero_2[1].OnEvaluatingRiderAtPickup.Enabled' the value '1'. Previous value was '1'.
0;Worker_Panadero_2[1];Worker_Panadero_2[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Worker_Panadero_2[1].OnEvaluatingRiderAtPickup.ReturnValue' the value '1'. Previous value was '1'.
0;Worker_Panadero_2[1];Worker_Panadero_2[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Worker_Panadero_2[1].HomeNode' the value 'Node_Silla_Panadero_2'. Previous value was 'Nothing'.
0;Worker_Panadero_2[1];Worker_Panadero_2[1];0.OnCreated;[End];Process 'Worker_Panadero_2[1].OnCreated' execution ended.
0;--;--;--;--;Created object 'Worker_Panadero_3[1]'.
0;Worker_Panadero_3[1];Worker_Panadero_3[1];0.OnCreated;[Begin];Process 'Worker_Panadero_3[1].OnCreated' execution started.
0;Worker_Panadero_3[1];Worker_Panadero_3[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Worker_Panadero_3[1].OnEvaluatingRiderReservation.Enabled' the value '1'. Previous value was '1'.
0;Worker_Panadero_3[1];Worker_Panadero_3[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Worker_Panadero_3[1].OnEvaluatingRiderReservation.ReturnValue' the value '1'. Previous value was '1'.
0;Worker_Panadero_3[1];Worker_Panadero_3[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Worker_Panadero_3[1].OnEvaluatingSeizeRequest.Enabled' the value '1'. Previous value was '1'.
0;Worker_Panadero_3[1];Worker_Panadero_3[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Worker_Panadero_3[1].OnEvaluatingSeizeRequest.ReturnValue' the value '1'. Previous value was '1'.
0;Worker_Panadero_3[1];Worker_Panadero_3[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Worker_Panadero_3[1].OnEvaluatingRiderAtPickup.Enabled' the value '1'. Previous value was '1'.
0;Worker_Panadero_3[1];Worker_Panadero_3[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Worker_Panadero_3[1].OnEvaluatingRiderAtPickup.ReturnValue' the value '1'. Previous value was '1'.
0;Worker_Panadero_3[1];Worker_Panadero_3[1];0.OnCreated;[Assign] OnCreatedAssignments;Assigning state variable 'Worker_Panadero_3[1].HomeNode' the value 'Node_Silla_Panadero_3'. Previous value was 'Nothing'.
0;Worker_Panadero_3[1];Worker_Panadero_3[1];0.OnCreated;[End];Process 'Worker_Panadero_3[1].OnCreated' execution ended.
0;Worker_Manipulador_1[1];Worker_Manipulador_1[1];0.OnRunInitialized;[Begin];Process 'Worker_Manipulador_1[1].OnRunInitialized' execution started.
0;Worker_Manipulador_1[1];Worker_Manipulador_1[1];0.OnRunInitialized;[Park] AtInitialNode;Entity 'Worker_Manipulador_1[1]' transferring from '[FreeSpace] Model_Panaderia' into station 'Node_BaseManipulador.ParkingStation'.
0;Worker_Manipulador_1[1];Node_BaseManipulador;1.OnEnteredParking;[Begin];Process 'Node_BaseManipulador.OnEnteredParking' execution started.
0;Worker_Manipulador_1[1];Node_BaseManipulador;1.OnEnteredParking;[EndTransfer] EndTransfer;Entity 'Worker_Manipulador_1[1]' ending transfer into station 'Node_BaseManipulador.ParkingStation'.
0;Worker_Manipulador_1[1];Node_BaseManipulador;1.OnEnteredParking;[End];Process 'Node_BaseManipulador.OnEnteredParking' execution ended.
0;Worker_Panadero_1[1];Worker_Panadero_1[1];1.OnRunInitialized;[Begin];Process 'Worker_Panadero_1[1].OnRunInitialized' execution started.
